Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2019-11-02 14:03:14,2019-11-05 02:08:25,Lek Massage,-40.71,0.00,EUR,COMPLETED,365.73
Card Payment,Current,2019-11-01 15:40:49,2019-11-05 02:08:25,Siam Concession,-6.90,0.00,EUR,COMPLETED,358.83
Card Payment,Current,2019-11-02 13:43:14,2019-11-05 02:08:25,EmQuartier,-1.98,0.00,EUR,COMPLETED,356.85
Card Payment,Current,2019-11-02 08:55:45,2019-11-05 02:08:26,Paul,-18.73,0.00,EUR,COMPLETED,338.12
Card Payment,Current,2019-11-02 18:02:40,2019-11-06 00:44:17,Grab,-1.43,0.00,EUR,COMPLETED,336.69
Card Payment,Current,2019-10-30 03:47:10,2019-11-06 00:44:17,Jeju-si,-208.38,0.00,EUR,COMPLETED,128.31
Card Payment,Current,2019-11-03 03:43:39,2019-11-06 00:44:18,Grab,-1.13,0.00,EUR,COMPLETED,127.18
Transfer,Current,2019-12-01 22:28:36,2019-12-01 22:28:36,Transfer from Fabien Martial Tissot,4.00,0.00,EUR,COMPLETED,131.18
Deposit,Current,2019-12-02 12:45:18,2019-12-02 12:45:18,Payment from M  FAUCOMPRET REMI,200.00,0.00,EUR,COMPLETED,331.18
Card Payment,Current,2019-11-29 12:52:38,2019-12-03 14:00:06,Marche Plus,-4.38,0.00,EUR,COMPLETED,326.80
Card Payment,Current,2019-11-30 10:56:35,2019-12-03 14:17:39,AREA,-9.50,0.00,EUR,COMPLETED,317.30
Card Payment,Current,2019-11-30 10:05:12,2019-12-03 14:17:39,AREA,-2.00,0.00,EUR,COMPLETED,315.30
Card Payment,Current,2019-12-01 17:16:25,2019-12-03 17:14:52,AREA,-9.50,0.00,EUR,COMPLETED,305.80
Card Payment,Current,2019-12-02 13:52:21,2019-12-05 09:54:12,Sante Dentaire,-38.92,0.00,EUR,COMPLETED,266.88
Card Payment,Current,2019-12-03 12:31:57,2019-12-05 10:02:56,Vessiere Monplaisir,-6.50,0.00,EUR,COMPLETED,260.38
Card Payment,Current,2019-12-03 14:23:02,2019-12-06 00:24:44,Cfta Rhone,-15.20,0.00,EUR,COMPLETED,245.18
Deposit,Current,2019-12-17 12:33:16,2019-12-17 12:33:16,Payment from M  FAUCOMPRET REMI,200.00,0.00,EUR,COMPLETED,445.18
Card Payment,Current,2019-12-16 15:13:41,2019-12-18 08:32:44,Starbucks,-7.36,0.00,EUR,COMPLETED,437.82
Card Payment,Current,2019-12-16 23:13:01,2019-12-18 12:00:49,Selecta,-2.16,0.00,EUR,COMPLETED,435.66
Card Payment,Current,2019-12-16 15:33:56,2019-12-18 21:53:18,Travelodge by Wyndham,-132.86,0.00,EUR,COMPLETED,302.80
Card Payment,Current,2019-12-17 20:06:32,2019-12-18 22:46:10,Subway,-9.98,0.00,EUR,COMPLETED,292.82
Card Payment,Current,2019-12-17 20:16:22,2019-12-18 23:00:02,Selecta,-2.12,0.00,EUR,COMPLETED,290.70
Card Payment,Current,2019-12-16 12:34:18,2019-12-19 01:37:09,Trainline,-21.42,0.00,EUR,COMPLETED,269.28
Card Payment,Current,2019-12-22 17:15:39,2019-12-24 08:11:51,Path? Romandie S?rl,-10.07,0.00,EUR,COMPLETED,259.21
Card Payment,Current,2019-12-22 16:35:36,2019-12-24 08:11:51,Bagelstein,-14.04,0.00,EUR,COMPLETED,245.17
Card Payment,Current,2019-12-23 10:13:19,2019-12-26 05:33:55,BlaBlaCar,-10.00,0.00,EUR,COMPLETED,235.17
Card Payment,Current,2019-12-22 20:20:44,2019-12-26 10:25:49,McDonald's,-29.84,0.00,EUR,COMPLETED,205.33
Card Payment,Current,2019-12-24 10:47:33,2019-12-27 22:59:44,Ikea,-25.23,0.00,EUR,COMPLETED,180.10
Card Payment,Current,2019-12-26 15:41:05,2019-12-28 08:19:15,AliExpress,-5.92,0.00,EUR,COMPLETED,174.18
Transfer,Current,2020-01-04 00:35:04,2020-01-04 00:35:04,Transfer from Fabien Martial Tissot,5.00,0.00,EUR,COMPLETED,179.18
